"região" "ano" "pop" "faixa"
"149" "Sul" 2000 2377838 "5-9 anos"
"150" "Centro-Oeste" 2000 1206122 "5-9 anos"
"151" "Norte" 2001 1701971 "5-9 anos"
"152" "Nordeste" 2001 5348916 "5-9 anos"
"153" "Sudeste" 2001 6616614 "5-9 anos"
"154" "Sul" 2001 2371238 "5-9 anos"
"155" "Centro-Oeste" 2001 1214186 "5-9 anos"
"156" "Norte" 2002 1719749 "5-9 anos"
"157" "Nordeste" 2002 5315141 "5-9 anos"
"158" "Sudeste" 2002 6625476 "5-9 anos"
"159" "Sul" 2002 2360439 "5-9 anos"
"160" "Centro-Oeste" 2002 1220238 "5-9 anos"
"161" "Norte" 2003 1734272 "5-9 anos"
"162" "Nordeste" 2003 5295534 "5-9 anos"
"163" "Sudeste" 2003 6639294 "5-9 anos"
"164" "Sul" 2003 2344230 "5-9 anos"
"165" "Centro-Oeste" 2003 1223448 "5-9 anos"
"166" "Norte" 2004 1744510 "5-9 anos"
"167" "Nordeste" 2004 5291785 "5-9 anos"
"168" "Sudeste" 2004 6656519 "5-9 anos"
"169" "Sul" 2004 2321309 "5-9 anos"
"170" "Centro-Oeste" 2004 1222945 "5-9 anos"
"171" "Norte" 2005 1748490 "5-9 anos"
"172" "Nordeste" 2005 5300366 "5-9 anos"
"173" "Sudeste" 2005 6674033 "5-9 anos"
"174" "Sul" 2005 2290015 "5-9 anos"
"175" "Centro-Oeste" 2005 1217448 "5-9 anos"
"176" "Norte" 2006 1762886 "5-9 anos"
"177" "Nordeste" 2006 5320781 "5-9 anos"
"178" "Sudeste" 2006 6673403 "5-9 anos"
"179" "Sul" 2006 2272320 "5-9 anos"
"180" "Centro-Oeste" 2006 1224649 "5-9 anos"
"181" "Norte" 2007 1775244 "5-9 anos"
"182" "Nordeste" 2007 5334061 "5-9 anos"
"183" "Sudeste" 2007 6646498 "5-9 anos"
"184" "Sul" 2007 2249327 "5-9 anos"
"185" "Centro-Oeste" 2007 1229517 "5-9 anos"
"186" "Norte" 2008 1786067 "5-9 anos"
"187" "Nordeste" 2008 5335191 "5-9 anos"
"188" "Sudeste" 2008 6593343 "5-9 anos"
"189" "Sul" 2008 2223334 "5-9 anos"
"190" "Centro-Oeste" 2008 1232969 "5-9 anos"
"191" "Norte" 2009 1795823 "5-9 anos"
"192" "Nordeste" 2009 5319009 "5-9 anos"
"193" "Sudeste" 2009 6514466 "5-9 anos"
"194" "Sul" 2009 2196815 "5-9 anos"
"195" "Centro-Oeste" 2009 1236059 "5-9 anos"
"196" "Norte" 2010 1806219 "5-9 anos"
"197" "Nordeste" 2010 5284692 "5-9 anos"
"198" "Sudeste" 2010 6412299 "5-9 anos"
"199" "Sul" 2010 2172872 "5-9 anos"
"200" "Centro-Oeste" 2010 1240505 "5-9 anos"
"201" "Norte" 2011 1800743 "5-9 anos"
"202" "Nordeste" 2011 5228261 "5-9 anos"
"203" "Sudeste" 2011 6305368 "5-9 anos"
"204" "Sul" 2011 2131331 "5-9 anos"
"205" "Centro-Oeste" 2011 1229357 "5-9 anos"
"206" "Norte" 2012 1792171 "5-9 anos"
"207" "Nordeste" 2012 5164162 "5-9 anos"
"208" "Sudeste" 2012 6201940 "5-9 anos"
"209" "Sul" 2012 2092879 "5-9 anos"
"210" "Centro-Oeste" 2012 1218470 "5-9 anos"
"211" "Norte" 2013 1780570 "5-9 anos"
"212" "Nordeste" 2013 5092730 "5-9 anos"
"213" "Sudeste" 2013 6102076 "5-9 anos"
"214" "Sul" 2013 2057187 "5-9 anos"
"215" "Centro-Oeste" 2013 1207867 "5-9 anos"
"216" "Norte" 2014 1766485 "5-9 anos"
"217" "Nordeste" 2014 5015010 "5-9 anos"
"218" "Sudeste" 2014 6006121 "5-9 anos"
"219" "Sul" 2014 2024212 "5-9 anos"
"220" "Centro-Oeste" 2014 1197681 "5-9 anos"
"221" "Norte" 2015 1750443 "5-9 anos"
"222" "Nordeste" 2015 4932376 "5-9 anos"
"223" "Sudeste" 2015 5914407 "5-9 anos"
"224" "Sul" 2015 1993875 "5-9 anos"
"225" "Centro-Oeste" 2015 1188008 "5-9 anos"
"226" "Norte" 2016 1732929 "5-9 anos"
"227" "Nordeste" 2016 4846505 "5-9 anos"
"228" "Sudeste" 2016 5827323 "5-9 anos"
"229" "Sul" 2016 1966215 "5-9 anos"
"230" "Centro-Oeste" 2016 1178901 "5-9 anos"
"231" "Norte" 2017 1714403 "5-9 anos"
"232" "Nordeste" 2017 4758950 "5-9 anos"
"233" "Sudeste" 2017 5745133 "5-9 anos"
"234" "Sul" 2017 1941107 "5-9 anos"
"235" "Centro-Oeste" 2017 1170368 "5-9 anos"
"236" "Norte" 2018 1695239 "5-9 anos"
"237" "Nordeste" 2018 4671324 "5-9 anos"
"238" "Sudeste" 2018 5667729 "5-9 anos"
"239" "Sul" 2018 1918207 "5-9 anos"
"240" "Centro-Oeste" 2018 1162324 "5-9 anos"
"241" "Norte" 2019 1675656 "5-9 anos"
"242" "Nordeste" 2019 4585197 "5-9 anos"
